bitrix24_partner_number,title,site,phone,email,logo_url,detail_page_url,zone,scraped_at
27270,"Первый Бит",https://bit-24.ru/,"+7 (800) 551-85-10",orderweb@1cbit.ru,"https://www.1c-bitrix.ru/upload/iblock/c7b/tannidbp5w11x8554pb1hjc1mbnewkmx/Логотип пб.png",/partners/partner/27270/,ru,2026-06-23T15:04:18+00:00
1550629,АйТи-Солюшн,https://it-solution.ru,+78123328432,b24@it-solution.ru,https://www.1c-bitrix.ru/upload/iblock/3ee/vat5l9td6hjeq12vofjy3phflb0s5mrp/Логотип.png,/partners/partner/1550629/,ru,2026-06-23T15:04:21+00:00
524714,"Информатика и Сервис",https://infoservice.ru/,"+7 (812) 309-36-41",bitrix24@infoservice.ru,https://www.1c-bitrix.ru/upload/iblock/52c/infoservice_logo_sq135.png,/partners/partner/524714/,ru,2026-06-23T15:04:23+00:00
6914235,"АС Проект",https://acp-24.ru/,"+ 7 495 414-48-49",sales@acp-24.ru,"https://www.1c-bitrix.ru/upload/iblock/e55/vmgaapcygeixpbdh7touxh18kntr5ldt/лого цветоное ас проект для тильды.png",/partners/partner/6914235/,ru,2026-06-23T15:04:26+00:00
5681719,"Business Upgrade",https://www.bizupgrade.ru,"8-800-775-15-31, 8-383-362-26-26",info@bizupgrade.ru,"https://www.1c-bitrix.ru/upload/iblock/89d/g1nkqxtus8kygyejhou0oxfkovzje5xl/Лого в партнерку.jpg",/partners/partner/5681719/,ru,2026-06-23T15:04:28+00:00
7504633,WebMens,https://webmens.ru,"8 (861) 213-94-34, 8 (989) 261-70-61",start@webmens.ru,"https://www.1c-bitrix.ru/upload/iblock/78a/webmens logotype copy_non_back.PNG",/partners/partner/7504633/,ru,2026-06-23T15:04:30+00:00
6721359,Соль,https://saltpro.ru/~prt,"+ 7 (800) 350-85-56",partners24@saltpro.ru,"https://www.1c-bitrix.ru/upload/iblock/395/logos all web-11.jpg",/partners/partner/6721359/,ru,2026-06-23T15:04:33+00:00
6486671,"CRM Academy",https://crmacademy.ru/?utm_source=bitrix24&utm_medium=rating,88005518055,1@crmacademy.ru,https://www.1c-bitrix.ru/upload/iblock/4b9/dyrwlqk2fjhh6twsgv4eiaflrc6zzbrr/175х135.png,/partners/partner/6486671/,ru,2026-06-23T15:04:35+00:00
6142615,ИТ-НИКА,http://www.it-nika.ru/,+79277439491,info@it-nika.ru,"https://www.1c-bitrix.ru/upload/iblock/ce5/j9w3lt73c7fla3zw4pm62ypzmmjsfqez/Логотип (новый).png",/partners/partner/6142615/,ru,2026-06-23T15:04:38+00:00
5857517,"INVO Group",https://invo.group,"+7981 300-92-61",corp@invo.group,"https://www.1c-bitrix.ru/upload/iblock/d1d/Ресурс 3.png",/partners/partner/5857517/,ru,2026-06-23T15:04:40+00:00
